City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,talnakh,69.4865,88.3972,3.45,88,100,2.81,RU,1694815895
174,pemangkat,1.1667,108.9667,25.61,85,97,1.67,ID,1694815895
175,chibougamau,49.9168,-74.3659,16.47,50,28,2.0,CA,1694815896
176,anadyr,64.75,177.4833,5.28,86,75,1.0,RU,1694815896
177,dudinka,69.4058,86.1778,3.68,93,100,3.63,RU,1694815896
178,fort st. john,56.2499,-120.8529,25.91,15,3,8.28,CA,1694815897
179,montevideo,-34.8335,-56.1674,19.01,55,0,8.75,UY,1694815897
180,luoyang,34.6836,112.4536,22.33,69,93,1.26,CN,1694815898
181,brody,50.0879,25.1503,12.27,75,0,1.63,UA,1694815898
182,borzya,50.3833,116.5167,7.44,47,64,4.47,RU,1694815898
183,madalena,41.2162,-8.3345,19.32,83,100,1.97,PT,1694815899
184,tazovsky,67.4667,78.7,10.95,84,99,5.79,RU,1694815899
185,mount isa,-20.7333,139.5,16.87,48,0,0.0,AU,1694815899
186,krupka,50.6845,13.8582,15.84,87,6,1.53,CZ,1694815900
187,las vegas,36.175,-115.1372,34.69,17,0,7.6,US,1694815711
188,santana,-0.0583,-51.1817,28.1,74,75,4.12,BR,1694815900
189,guerrero negro,27.9769,-114.0611,23.95,61,0,8.56,MX,1694815901
190,prince george,53.9166,-122.753,26.81,25,64,1.79,CA,1694815808
191,chui,-33.6971,-53.4616,14.73,77,71,5.69,UY,1694815901
192,san luis de la loma,17.2706,-100.8939,28.84,82,100,1.26,MX,1694815902
193,casper,42.8666,-106.3131,23.18,33,0,2.06,US,1694815836
194,pijijiapan,15.7011,-93.23,30.23,76,47,2.05,MX,1694815903
195,cantonment,31.5239,74.3764,26.06,89,40,2.06,PK,1694815903
196,bratsk,56.1325,101.6142,4.27,76,11,1.58,RU,1694815903
197,damghan,36.1683,54.348,19.22,61,0,2.39,IR,1694815904
198,nadym,65.5333,72.5167,11.79,79,72,4.56,RU,1694815904
199,enewetak,11.3474,162.3373,28.9,76,32,6.02,MH,1694815904
200,ntungamo,-0.8833,29.65,19.73,79,79,1.16,UG,1694815905
201,jamestown,42.097,-79.2353,18.59,67,0,3.6,US,1694815821
202,polyarnyy,69.1989,33.4478,5.68,74,96,5.51,RU,1694815906
203,selfoss,63.9331,-20.9971,7.8,89,76,2.17,IS,1694815906
204,enugu-ezike,6.9825,7.457,21.75,98,100,1.83,NG,1694815906
205,moyynkum,44.2914,72.9469,18.14,39,0,5.01,KZ,1694815907
206,port saint john's,-31.6229,29.5448,17.75,74,55,7.22,ZA,1694815908
207,chonchi,-42.6128,-73.8092,9.51,82,22,3.74,CL,1694815908
208,nemuro,43.3236,145.575,17.52,92,100,6.08,JP,1694815751
209,alice springs,-23.7,133.8833,9.75,34,0,2.57,AU,1694815909
210,batticaloa,7.7102,81.6924,26.23,77,44,3.18,LK,1694815855
211,horta,38.5333,-28.6333,20.57,71,100,6.71,PT,1694815730
212,kollam,8.8833,76.6,25.57,85,23,2.08,IN,1694815911
213,freetown,8.484,-13.2299,25.59,86,100,1.52,SL,1694815911
214,gwio kura,12.6753,11.0682,29.68,49,45,2.44,NG,1694815911
215,masterton,-40.9597,175.6575,10.49,59,9,2.91,NZ,1694815912
